Step 1: 0.0001s - (0,10) <- 13 --> Thử giá trị | Conflicts = 105
Step 1: 0.0005s - (0,11) <- 12 --> Thử giá trị | Conflicts = 104
Step 1: 0.0005s - (0,15) <- 12 --> Đúng | Conflicts = 104
Step 2: 0.0006s - (1,0) <- 6 --> Thử giá trị | Conflicts = 103
Step 2: 0.0010s - (1,5) <- 4 --> Thử giá trị | Conflicts = 100
Step 2: 0.0019s - (1,6) <- 13 --> Thử giá trị | Conflicts = 99
Step 2: 0.0027s - (1,13) <- 12 --> Thử giá trị | Conflicts = 97
Step 2: 0.0027s - (1,15) <- 12 --> Đúng | Conflicts = 97
Step 3: 0.0037s - (2,1) <- 3 --> Thử giá trị | Conflicts = 95
Step 3: 0.0037s - (2,15) <- 3 --> Đúng | Conflicts = 95
Step 4: 0.0043s - (3,0) <- 11 --> Thử giá trị | Conflicts = 93
Step 4: 0.0050s - (3,14) <- 8 --> Thử giá trị | Conflicts = 92
Step 4: 0.0050s - (3,15) <- 8 --> Đúng | Conflicts = 92
Step 5: 0.0052s - (4,0) <- 6 --> Thử giá trị | Conflicts = 91
Step 5: 0.0053s - (4,2) <- 8 --> Thử giá trị | Conflicts = 90
Step 5: 0.0061s - (4,15) <- 1 --> Thử giá trị | Conflicts = 88
Step 5: 0.0061s - (4,15) <- 1 --> Đúng | Conflicts = 88
Step 6: 0.0064s - (5,1) <- 12 --> Thử giá trị | Conflicts = 85
Step 6: 0.0077s - (5,7) <- 5 --> Thử giá trị | Conflicts = 82
Step 6: 0.0082s - (5,9) <- 8 --> Thử giá trị | Conflicts = 80
Step 6: 0.0085s - (5,10) <- 6 --> Thử giá trị | Conflicts = 79
Step 6: 0.0097s - (5,14) <- 12 --> Thử giá trị | Conflicts = 78
Step 6: 0.0098s - (5,15) <- 12 --> Đúng | Conflicts = 78
Step 7: 0.0099s - (6,0) <- 5 --> Thử giá trị | Conflicts = 77
Step 7: 0.0100s - (6,3) <- 14 --> Thử giá trị | Conflicts = 74
Step 7: 0.0101s - (6,11) <- 10 --> Thử giá trị | Conflicts = 72
Step 7: 0.0107s - (6,14) <- 13 --> Thử giá trị | Conflicts = 71
Step 7: 0.0107s - (6,15) <- 13 --> Đúng | Conflicts = 71
Step 8: 0.0118s - (7,3) <- 6 --> Thử giá trị | Conflicts = 70
Step 8: 0.0130s - (7,5) <- 8 --> Thử giá trị | Conflicts = 68
Step 8: 0.0135s - (7,12) <- 10 --> Thử giá trị | Conflicts = 67
Step 8: 0.0149s - (7,15) <- 15 --> Đúng | Conflicts = 67
Step 9: 0.0162s - (9,3) <- 2 --> Sai | Conflicts = 67
Step 9: 0.0175s - (9,14) <- 14 --> Sai | Conflicts = 67
Step 9: 0.0186s - (10,4) <- 7 --> Sai | Conflicts = 67
Step 9: 0.0196s - (10,13) <- 13 --> Sai | Conflicts = 67
Step 9: 0.0206s - (10,14) <- 8 --> Sai | Conflicts = 67
Step 9: 0.0215s - (11,1) <- 5 --> Sai | Conflicts = 67
Step 9: 0.0224s - (11,5) <- 8 --> Sai | Conflicts = 67
Step 9: 0.0233s - (11,8) <- 14 --> Sai | Conflicts = 67
Step 9: 0.0242s - (11,10) <- 1 --> Sai | Conflicts = 67
Step 9: 0.0249s - (11,12) <- 5 --> Sai | Conflicts = 67
Step 9: 0.0257s - (12,0) <- 10 --> Sai | Conflicts = 67
Step 9: 0.0264s - (12,2) <- 2 --> Sai | Conflicts = 67
Step 9: 0.0270s - (12,3) <- 4 --> Sai | Conflicts = 67
Step 9: 0.0276s - (12,4) <- 3 --> Sai | Conflicts = 67
Step 9: 0.0282s - (12,7) <- 3 --> Sai | Conflicts = 67
Step 9: 0.0287s - (12,12) <- 16 --> Sai | Conflicts = 67
Step 9: 0.0292s - (13,1) <- 4 --> Sai | Conflicts = 67
Step 9: 0.0297s - (13,10) <- 6 --> Sai | Conflicts = 67
Step 9: 0.0303s - (13,11) <- 12 --> Sai | Conflicts = 67
Step 9: 0.0308s - (13,12) <- 1 --> Sai | Conflicts = 67
Step 9: 0.0313s - (13,14) <- 13 --> Sai | Conflicts = 67
Step 9: 0.0319s - (14,1) <- 4 --> Sai | Conflicts = 67
Step 9: 0.0324s - (14,7) <- 8 --> Sai | Conflicts = 67
Step 9: 0.0329s - (14,12) <- 8 --> Sai | Conflicts = 67
Step 9: 0.0334s - (14,14) <- 7 --> Sai | Conflicts = 67
Step 9: 0.0339s - (15,0) <- 15 --> Sai | Conflicts = 67
Step 9: 0.0339s - (15,15) <- 15 --> Đúng | Conflicts = 67
