=== Log giải Sudoku 9x9 bằng Simulated Annealing ===
Bước 1: Swap (4,4) = 4 <=> (5,5) = 6 | Lỗi:  6 | Conflicts: 10 | Tổng: 0.0007s | Sigma: 99.0000
Bước 2: Swap (1,6) = 9 <=> (2,8) = 6 | Lỗi: 10 | Conflicts: 16 | Tổng: 0.5160s | Sigma: 98.0100
Bước 3: Swap (3,2) = 2 <=> (4,1) = 5 | Lỗi: 14 | Conflicts: 21 | Tổng: 1.0340s | Sigma: 97.0299
Bước 4: Swap (4,4) = 6 <=> (5,5) = 4 | Lỗi: 18 | Conflicts: 27 | Tổng: 1.5518s | Sigma: 95.0990
Bước 5: Swap (4,1) = 4 <=> (5,2) = 5 | Lỗi: 17 | Conflicts: 28 | Tổng: 2.0711s | Sigma: 94.1480
Bước 6: Swap (5,2) = 2 <=> (3,2) = 5 | Lỗi: 16 | Conflicts: 26 | Tổng: 2.5884s | Sigma: 93.2065
Bước 7: Swap (4,1) = 2 <=> (5,2) = 4 | Lỗi: 14 | Conflicts: 22 | Tổng: 3.1084s | Sigma: 92.2745
Bước 8: Swap (1,6) = 6 <=> (2,8) = 9 | Lỗi: 10 | Conflicts: 16 | Tổng: 3.6271s | Sigma: 91.3517
Bước 9: Swap (4,1) = 4 <=> (5,2) = 2 | Lỗi: 12 | Conflicts: 20 | Tổng: 4.1460s | Sigma: 90.4382
Bước 10: Swap (5,2) = 4 <=> (4,1) = 2 | Lỗi: 10 | Conflicts: 16 | Tổng: 4.6629s | Sigma: 89.5338
Bước 11: Swap (0,1) = 6 <=> (0,0) = 5 | Lỗi:  8 | Conflicts: 12 | Tổng: 5.1814s | Sigma: 88.6385
Bước 12: Swap (1,6) = 9 <=> (2,8) = 6 | Lỗi: 12 | Conflicts: 18 | Tổng: 5.6986s | Sigma: 87.7521
Bước 13: Swap (1,6) = 6 <=> (2,8) = 9 | Lỗi:  8 | Conflicts: 12 | Tổng: 6.2121s | Sigma: 86.8746
Bước 14: Swap (0,1) = 5 <=> (0,0) = 6 | Lỗi: 10 | Conflicts: 16 | Tổng: 6.7297s | Sigma: 86.0058
Bước 15: Swap (0,3) = 5 <=> (2,5) = 7 | Lỗi: 14 | Conflicts: 20 | Tổng: 7.2482s | Sigma: 85.1458
Bước 16: Swap (1,6) = 9 <=> (2,8) = 6 | Lỗi: 18 | Conflicts: 26 | Tổng: 7.7667s | Sigma: 84.2943
Bước 17: Swap (4,6) = 1 <=> (5,7) = 7 | Lỗi: 14 | Conflicts: 21 | Tổng: 8.2832s | Sigma: 83.4514
Bước 18: Swap (5,2) = 2 <=> (4,1) = 4 | Lỗi: 16 | Conflicts: 25 | Tổng: 8.8001s | Sigma: 82.6169
Bước 19: Swap (5,2) = 5 <=> (3,2) = 2 | Lỗi: 17 | Conflicts: 27 | Tổng: 9.3158s | Sigma: 81.7907
Bước 20: Swap (0,3) = 7 <=> (2,5) = 5 | Lỗi: 13 | Conflicts: 22 | Tổng: 9.8330s | Sigma: 80.9728
Bước 21: Swap (5,7) = 1 <=> (4,6) = 7 | Lỗi: 17 | Conflicts: 28 | Tổng: 10.3515s | Sigma: 80.1631
Bước 22: Swap (3,2) = 4 <=> (4,1) = 2 | Lỗi: 15 | Conflicts: 25 | Tổng: 10.8708s | Sigma: 79.3614
Bước 23: Swap (0,1) = 6 <=> (0,0) = 5 | Lỗi: 13 | Conflicts: 21 | Tổng: 11.3899s | Sigma: 78.5678
Bước 24: Swap (0,0) = 6 <=> (0,1) = 5 | Lỗi: 15 | Conflicts: 25 | Tổng: 11.9072s | Sigma: 77.7821
Bước 25: Swap (1,6) = 6 <=> (2,8) = 9 | Lỗi: 11 | Conflicts: 19 | Tổng: 12.4249s | Sigma: 77.0043
Bước 26: Swap (4,6) = 1 <=> (5,7) = 7 | Lỗi:  7 | Conflicts: 13 | Tổng: 12.9430s | Sigma: 76.2343
Bước 27: Swap (2,5) = 7 <=> (0,3) = 5 | Lỗi: 11 | Conflicts: 18 | Tổng: 13.4616s | Sigma: 75.4719
Bước 28: Swap (4,6) = 7 <=> (5,7) = 1 | Lỗi: 15 | Conflicts: 23 | Tổng: 13.9810s | Sigma: 74.7172
Bước 29: Swap (5,5) = 6 <=> (4,4) = 4 | Lỗi: 12 | Conflicts: 18 | Tổng: 14.5021s | Sigma: 73.9700
