=== Log giải Sudoku bằng Simulated Annealing ===
Bước 1: Swap (12,15) = 12 <=> (14,14) = 13 | Lỗi: 100 | Conflicts: 148 | Tổng: 0.0041s | Sigma: 100.0000
Bước 2: Swap (7,2) = 10 <=> (6,2) = 5 | Lỗi: 101 | Conflicts: 149 | Tổng: 0.0074s | Sigma: 99.0000
Bước 3: Swap (4,5) = 10 <=> (6,6) = 9 | Lỗi: 100 | Conflicts: 147 | Tổng: 0.0104s | Sigma: 98.0100
Bước 4: Swap (7,8) = 5 <=> (4,10) = 16 | Lỗi: 99 | Conflicts: 146 | Tổng: 0.0129s | Sigma: 97.0299
Bước 5: Swap (12,8) = 2 <=> (14,11) = 16 | Lỗi: 96 | Conflicts: 142 | Tổng: 0.0152s | Sigma: 96.0596
Bước 6: Swap (15,0) = 11 <=> (12,0) = 8 | Lỗi: 97 | Conflicts: 143 | Tổng: 0.0181s | Sigma: 95.0990
Bước 7: Swap (9,14) = 14 <=> (10,14) = 7 | Lỗi: 96 | Conflicts: 142 | Tổng: 0.0202s | Sigma: 94.1480
Bước 8: Swap (8,7) = 5 <=> (11,7) = 7 | Lỗi: 97 | Conflicts: 142 | Tổng: 0.0218s | Sigma: 93.2065
Bước 9: Swap (11,7) = 13 <=> (11,5) = 7 | Lỗi: 97 | Conflicts: 142 | Tổng: 0.0234s | Sigma: 92.2745
Bước 10: Swap (10,7) = 2 <=> (10,4) = 3 | Lỗi: 98 | Conflicts: 144 | Tổng: 0.0251s | Sigma: 91.3517
Bước 11: Swap (8,13) = 5 <=> (9,13) = 1 | Lỗi: 100 | Conflicts: 146 | Tổng: 0.0267s | Sigma: 90.4382
Bước 12: Swap (7,2) = 13 <=> (4,1) = 10 | Lỗi: 102 | Conflicts: 147 | Tổng: 0.0280s | Sigma: 89.5338
Bước 13: Swap (3,15) = 13 <=> (2,14) = 11 | Lỗi: 98 | Conflicts: 144 | Tổng: 0.0292s | Sigma: 88.6385
Bước 14: Swap (3,15) = 11 <=> (2,14) = 13 | Lỗi: 102 | Conflicts: 147 | Tổng: 0.0306s | Sigma: 86.8746
Bước 15: Swap (14,14) = 4 <=> (15,13) = 13 | Lỗi: 101 | Conflicts: 147 | Tổng: 0.0319s | Sigma: 86.0058
Bước 16: Swap (11,7) = 2 <=> (10,7) = 13 | Lỗi: 100 | Conflicts: 147 | Tổng: 0.0331s | Sigma: 85.1458
Bước 17: Swap (15,0) = 9 <=> (12,2) = 11 | Lỗi: 102 | Conflicts: 151 | Tổng: 0.0350s | Sigma: 84.2943
Bước 18: Swap (7,8) = 16 <=> (4,10) = 5 | Lỗi: 102 | Conflicts: 151 | Tổng: 0.0371s | Sigma: 83.4514
Bước 19: Swap (9,6) = 11 <=> (8,4) = 9 | Lỗi: 101 | Conflicts: 152 | Tổng: 0.0393s | Sigma: 82.6169
Bước 20: Swap (6,14) = 12 <=> (7,12) = 1 | Lỗi: 103 | Conflicts: 154 | Tổng: 0.0422s | Sigma: 81.7907
Bước 21: Swap (12,11) = 12 <=> (14,8) = 6 | Lỗi: 105 | Conflicts: 157 | Tổng: 0.0444s | Sigma: 80.9728
Bước 22: Swap (0,9) = 3 <=> (0,8) = 6 | Lỗi: 107 | Conflicts: 159 | Tổng: 0.0476s | Sigma: 80.1631
Bước 23: Swap (2,14) = 11 <=> (3,15) = 13 | Lỗi: 103 | Conflicts: 155 | Tổng: 0.0504s | Sigma: 79.3614
Bước 24: Swap (6,15) = 2 <=> (5,13) = 3 | Lỗi: 101 | Conflicts: 152 | Tổng: 0.0523s | Sigma: 78.5678
Bước 25: Swap (11,9) = 16 <=> (9,9) = 1 | Lỗi: 103 | Conflicts: 153 | Tổng: 0.0542s | Sigma: 77.7821
Bước 26: Swap (11,5) = 6 <=> (9,5) = 7 | Lỗi: 103 | Conflicts: 153 | Tổng: 0.0558s | Sigma: 77.0043
Bước 27: Swap (8,12) = 5 <=> (8,13) = 6 | Lỗi: 103 | Conflicts: 152 | Tổng: 0.0571s | Sigma: 76.2343
Bước 28: Swap (0,4) = 4 <=> (2,6) = 7 | Lỗi: 101 | Conflicts: 149 | Tổng: 0.0586s | Sigma: 75.4719
Bước 29: Swap (4,0) = 5 <=> (6,2) = 9 | Lỗi: 101 | Conflicts: 149 | Tổng: 0.0600s | Sigma: 74.7172
Bước 30: Swap (3,9) = 11 <=> (3,11) = 10 | Lỗi: 103 | Conflicts: 152 | Tổng: 0.0613s | Sigma: 73.9700
Bước 31: Swap (3,0) = 1 <=> (0,3) = 12 | Lỗi: 104 | Conflicts: 151 | Tổng: 0.0625s | Sigma: 73.2303
Bước 32: Swap (4,8) = 3 <=> (7,10) = 12 | Lỗi: 104 | Conflicts: 151 | Tổng: 0.0640s | Sigma: 72.4980
Bước 33: Swap (14,9) = 6 <=> (14,8) = 3 | Lỗi: 103 | Conflicts: 149 | Tổng: 0.0655s | Sigma: 71.7731
Bước 34: Swap (14,1) = 8 <=> (12,0) = 15 | Lỗi: 100 | Conflicts: 146 | Tổng: 0.0677s | Sigma: 71.0553
Bước 35: Swap (2,2) = 1 <=> (3,0) = 5 | Lỗi: 101 | Conflicts: 148 | Tổng: 0.0691s | Sigma: 70.3448
Bước 36: Swap (14,5) = 4 <=> (14,6) = 11 | Lỗi: 100 | Conflicts: 147 | Tổng: 0.0704s | Sigma: 69.6413
Bước 37: Swap (4,0) = 16 <=> (4,3) = 5 | Lỗi: 99 | Conflicts: 147 | Tổng: 0.0719s | Sigma: 68.9449
Bước 38: Swap (15,7) = 4 <=> (14,5) = 5 | Lỗi: 98 | Conflicts: 148 | Tổng: 0.0736s | Sigma: 68.2555
Bước 39: Swap (8,2) = 10 <=> (10,2) = 8 | Lỗi: 98 | Conflicts: 147 | Tổng: 0.0753s | Sigma: 67.5729
Bước 40: Swap (3,0) = 1 <=> (2,2) = 5 | Lỗi: 97 | Conflicts: 144 | Tổng: 0.0766s | Sigma: 66.8972
Bước 41: Swap (3,9) = 8 <=> (2,9) = 11 | Lỗi: 97 | Conflicts: 144 | Tổng: 0.0781s | Sigma: 66.2282
Bước 42: Swap (2,6) = 10 <=> (1,5) = 7 | Lỗi: 99 | Conflicts: 145 | Tổng: 0.0795s | Sigma: 65.5659
Bước 43: Swap (5,5) = 2 <=> (4,6) = 3 | Lỗi: 100 | Conflicts: 145 | Tổng: 0.0810s | Sigma: 64.9103
Bước 44: Swap (2,14) = 13 <=> (3,15) = 11 | Lỗi: 103 | Conflicts: 149 | Tổng: 0.0829s | Sigma: 64.2612
Bước 45: Swap (7,2) = 1 <=> (7,0) = 13 | Lỗi: 103 | Conflicts: 151 | Tổng: 0.0845s | Sigma: 63.6185
Bước 46: Swap (3,7) = 7 <=> (1,5) = 6 | Lỗi: 103 | Conflicts: 152 | Tổng: 0.0859s | Sigma: 62.9824
Bước 47: Swap (14,6) = 5 <=> (14,5) = 11 | Lỗi: 102 | Conflicts: 150 | Tổng: 0.0871s | Sigma: 62.3525
Bước 48: Swap (3,15) = 13 <=> (2,14) = 11 | Lỗi: 99 | Conflicts: 147 | Tổng: 0.0883s | Sigma: 61.7290
Bước 49: Swap (12,2) = 9 <=> (15,0) = 11 | Lỗi: 99 | Conflicts: 144 | Tổng: 0.0894s | Sigma: 61.1117
Bước 50: Swap (9,11) = 12 <=> (8,8) = 3 | Lỗi: 103 | Conflicts: 148 | Tổng: 0.0916s | Sigma: 60.5006
Bước 51: Swap (0,6) = 14 <=> (2,5) = 15 | Lỗi: 103 | Conflicts: 148 | Tổng: 0.0942s | Sigma: 59.8956
Bước 52: Swap (15,0) = 9 <=> (12,2) = 11 | Lỗi: 103 | Conflicts: 151 | Tổng: 0.0963s | Sigma: 59.2966
Bước 53: Swap (10,14) = 5 <=> (8,12) = 7 | Lỗi: 103 | Conflicts: 152 | Tổng: 0.0982s | Sigma: 58.7037
Bước 54: Swap (12,2) = 15 <=> (12,0) = 11 | Lỗi: 103 | Conflicts: 152 | Tổng: 0.1009s | Sigma: 58.1166
Bước 55: Swap (6,15) = 3 <=> (5,13) = 2 | Lỗi: 106 | Conflicts: 155 | Tổng: 0.1022s | Sigma: 57.5355
Bước 56: Swap (2,5) = 14 <=> (0,6) = 15 | Lỗi: 106 | Conflicts: 155 | Tổng: 0.1034s | Sigma: 56.9601
Bước 57: Swap (13,12) = 2 <=> (13,14) = 14 | Lỗi: 108 | Conflicts: 156 | Tổng: 0.1046s | Sigma: 56.3905
Bước 58: Swap (13,14) = 9 <=> (12,12) = 14 | Lỗi: 106 | Conflicts: 154 | Tổng: 0.1070s | Sigma: 55.8266
Bước 59: Swap (12,2) = 9 <=> (15,0) = 15 | Lỗi: 106 | Conflicts: 153 | Tổng: 0.1087s | Sigma: 55.2683
Bước 60: Swap (4,1) = 16 <=> (4,0) = 10 | Lỗi: 105 | Conflicts: 153 | Tổng: 0.1101s | Sigma: 54.7157
Bước 61: Swap (13,12) = 12 <=> (12,15) = 2 | Lỗi: 103 | Conflicts: 152 | Tổng: 0.1112s | Sigma: 54.1685
Bước 62: Swap (4,1) = 9 <=> (6,2) = 16 | Lỗi: 100 | Conflicts: 149 | Tổng: 0.1124s | Sigma: 53.6268
Bước 63: Swap (15,9) = 11 <=> (13,8) = 5 | Lỗi: 101 | Conflicts: 149 | Tổng: 0.1136s | Sigma: 53.0906
Bước 64: Swap (3,9) = 10 <=> (3,11) = 8 | Lỗi: 101 | Conflicts: 148 | Tổng: 0.1150s | Sigma: 52.5596
Bước 65: Swap (14,6) = 1 <=> (12,6) = 5 | Lỗi: 100 | Conflicts: 148 | Tổng: 0.1172s | Sigma: 52.0341
Bước 66: Swap (2,5) = 7 <=> (3,7) = 14 | Lỗi: 101 | Conflicts: 146 | Tổng: 0.1188s | Sigma: 51.5137
