=== Log giải Sudoku 9x9 bằng Simulated Annealing ===
Bước 1: Swap (7,3) = 7 <=> (6,4) = 2 | Lỗi: 13 | Conflicts: 20 | Tổng: 0.0007s | Sigma: 99.0000
Bước 2: Swap (0,7) = 3 <=> (1,7) = 1 | Lỗi: 12 | Conflicts: 18 | Tổng: 0.0272s | Sigma: 98.0100
Bước 3: Swap (0,8) = 3 <=> (0,7) = 2 | Lỗi: 13 | Conflicts: 20 | Tổng: 0.0522s | Sigma: 97.0299
Bước 4: Swap (0,0) = 7 <=> (0,2) = 4 | Lỗi: 14 | Conflicts: 22 | Tổng: 0.0785s | Sigma: 96.0596
Bước 5: Swap (8,2) = 6 <=> (6,0) = 1 | Lỗi: 10 | Conflicts: 16 | Tổng: 0.1091s | Sigma: 95.0990
Bước 6: Swap (1,7) = 3 <=> (0,8) = 1 | Lỗi: 12 | Conflicts: 19 | Tổng: 0.1363s | Sigma: 94.1480
Bước 7: Swap (6,0) = 6 <=> (8,2) = 1 | Lỗi: 16 | Conflicts: 25 | Tổng: 0.2119s | Sigma: 93.2065
Bước 8: Swap (2,6) = 1 <=> (0,8) = 5 | Lỗi: 15 | Conflicts: 23 | Tổng: 0.2776s | Sigma: 92.2745
Bước 9: Swap (6,0) = 1 <=> (8,2) = 6 | Lỗi: 11 | Conflicts: 18 | Tổng: 0.3043s | Sigma: 91.3517
Bước 10: Swap (7,3) = 8 <=> (7,4) = 7 | Lỗi: 13 | Conflicts: 22 | Tổng: 0.3324s | Sigma: 90.4382
Bước 11: Swap (6,4) = 8 <=> (7,3) = 2 | Lỗi: 15 | Conflicts: 25 | Tổng: 0.3588s | Sigma: 89.5338
Bước 12: Swap (2,1) = 4 <=> (0,2) = 8 | Lỗi: 12 | Conflicts: 21 | Tổng: 0.3859s | Sigma: 88.6385
Bước 13: Swap (0,0) = 8 <=> (0,2) = 7 | Lỗi: 10 | Conflicts: 17 | Tổng: 0.4166s | Sigma: 87.7521
Bước 14: Swap (0,8) = 3 <=> (1,7) = 5 | Lỗi: 10 | Conflicts: 17 | Tổng: 0.4456s | Sigma: 86.8746
Bước 15: Swap (0,0) = 4 <=> (2,1) = 8 | Lỗi: 14 | Conflicts: 23 | Tổng: 0.4730s | Sigma: 86.0058
Bước 16: Swap (6,0) = 6 <=> (8,2) = 1 | Lỗi: 18 | Conflicts: 28 | Tổng: 0.5014s | Sigma: 85.1458
Bước 17: Swap (8,2) = 6 <=> (6,0) = 1 | Lỗi: 14 | Conflicts: 23 | Tổng: 0.5293s | Sigma: 84.2943
Bước 18: Swap (8,2) = 1 <=> (6,0) = 6 | Lỗi: 18 | Conflicts: 28 | Tổng: 0.5579s | Sigma: 82.6169
Bước 19: Swap (8,2) = 6 <=> (6,0) = 1 | Lỗi: 14 | Conflicts: 23 | Tổng: 0.5885s | Sigma: 81.7907
Bước 20: Swap (7,3) = 8 <=> (6,4) = 2 | Lỗi: 12 | Conflicts: 20 | Tổng: 0.6188s | Sigma: 80.9728
Bước 21: Swap (0,7) = 3 <=> (0,8) = 2 | Lỗi: 11 | Conflicts: 18 | Tổng: 0.6470s | Sigma: 80.1631
Bước 22: Swap (8,2) = 1 <=> (6,0) = 6 | Lỗi: 15 | Conflicts: 23 | Tổng: 0.6743s | Sigma: 79.3614
Bước 23: Swap (6,0) = 1 <=> (8,2) = 6 | Lỗi: 11 | Conflicts: 18 | Tổng: 0.7024s | Sigma: 78.5678
Bước 24: Swap (6,0) = 6 <=> (8,2) = 1 | Lỗi: 15 | Conflicts: 23 | Tổng: 0.7308s | Sigma: 77.7821
Bước 25: Swap (0,8) = 3 <=> (0,7) = 2 | Lỗi: 16 | Conflicts: 25 | Tổng: 0.7576s | Sigma: 77.0043
Bước 26: Swap (0,7) = 5 <=> (1,7) = 2 | Lỗi: 16 | Conflicts: 24 | Tổng: 0.7882s | Sigma: 76.2343
Bước 27: Swap (2,1) = 7 <=> (0,2) = 8 | Lỗi: 17 | Conflicts: 26 | Tổng: 0.8181s | Sigma: 75.4719
Bước 28: Swap (8,2) = 6 <=> (6,0) = 1 | Lỗi: 13 | Conflicts: 21 | Tổng: 0.8480s | Sigma: 74.7172
Bước 29: Swap (1,7) = 1 <=> (2,6) = 2 | Lỗi: 11 | Conflicts: 18 | Tổng: 0.8753s | Sigma: 73.9700
Bước 30: Swap (6,0) = 6 <=> (8,2) = 1 | Lỗi: 15 | Conflicts: 24 | Tổng: 0.9023s | Sigma: 73.2303
Bước 31: Swap (0,0) = 8 <=> (0,2) = 4 | Lỗi: 14 | Conflicts: 22 | Tổng: 0.9323s | Sigma: 72.4980
Bước 32: Swap (0,0) = 4 <=> (0,2) = 8 | Lỗi: 15 | Conflicts: 24 | Tổng: 0.9639s | Sigma: 71.7731
Bước 33: Swap (2,6) = 3 <=> (0,8) = 2 | Lỗi: 11 | Conflicts: 18 | Tổng: 0.9954s | Sigma: 71.0553
Bước 34: Swap (8,2) = 6 <=> (6,0) = 1 | Lỗi:  7 | Conflicts: 12 | Tổng: 1.0268s | Sigma: 70.3448
Bước 35: Swap (8,2) = 1 <=> (6,0) = 6 | Lỗi: 11 | Conflicts: 18 | Tổng: 1.0615s | Sigma: 69.6413
Bước 36: Swap (0,2) = 7 <=> (2,1) = 8 | Lỗi: 10 | Conflicts: 16 | Tổng: 1.0868s | Sigma: 68.9449
Bước 37: Swap (0,2) = 8 <=> (2,1) = 7 | Lỗi: 11 | Conflicts: 18 | Tổng: 1.1150s | Sigma: 68.2555
Bước 38: Swap (2,6) = 1 <=> (1,7) = 3 | Lỗi: 15 | Conflicts: 23 | Tổng: 1.1402s | Sigma: 67.5729
Bước 39: Swap (7,4) = 2 <=> (6,4) = 7 | Lỗi: 17 | Conflicts: 26 | Tổng: 1.1671s | Sigma: 66.8972
Bước 40: Swap (2,6) = 2 <=> (0,8) = 1 | Lỗi: 19 | Conflicts: 30 | Tổng: 1.1960s | Sigma: 66.2282
Bước 41: Swap (0,2) = 7 <=> (2,1) = 8 | Lỗi: 18 | Conflicts: 28 | Tổng: 1.2221s | Sigma: 65.5659
Bước 42: Swap (6,4) = 2 <=> (7,4) = 7 | Lỗi: 16 | Conflicts: 25 | Tổng: 1.2520s | Sigma: 64.9103
Bước 43: Swap (0,2) = 4 <=> (0,0) = 7 | Lỗi: 17 | Conflicts: 27 | Tổng: 1.2857s | Sigma: 64.2612
Bước 44: Swap (0,8) = 3 <=> (1,7) = 1 | Lỗi: 15 | Conflicts: 24 | Tổng: 1.3192s | Sigma: 63.6185
Bước 45: Swap (0,7) = 3 <=> (0,8) = 5 | Lỗi: 16 | Conflicts: 26 | Tổng: 1.3479s | Sigma: 62.9824
Bước 46: Swap (0,7) = 2 <=> (2,6) = 3 | Lỗi: 13 | Conflicts: 22 | Tổng: 1.3736s | Sigma: 62.3525
Bước 47: Swap (0,2) = 7 <=> (0,0) = 4 | Lỗi: 12 | Conflicts: 20 | Tổng: 1.4009s | Sigma: 61.7290
Bước 48: Swap (0,0) = 7 <=> (0,2) = 4 | Lỗi: 13 | Conflicts: 22 | Tổng: 1.4324s | Sigma: 61.1117
Bước 49: Swap (0,0) = 8 <=> (2,1) = 7 | Lỗi: 12 | Conflicts: 20 | Tổng: 1.4612s | Sigma: 60.5006
